time,BinaryProtocol:bytesReadPerSecond,BinaryProtocol:bytesWrittenPerSecond,BinaryProtocol:messagesReadPerSecond,BinaryProtocol:messagesWrittenPerSecond,BinaryProtocol:nAckMessages,BinaryProtocol:nBytesRead,BinaryProtocol:nBytesWritten,BinaryProtocol:nEntriesOldVersion,BinaryProtocol:nGroupAckMessages,BinaryProtocol:nGroupedAcks,BinaryProtocol:nMaxGroupedAcks,BinaryProtocol:nMessageBatches,BinaryProtocol:nMessagesBatched,BinaryProtocol:nMessagesRead,BinaryProtocol:nMessagesWritten,BinaryProtocol:nReadNanos,BinaryProtocol:nWriteNanos,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,ConsistencyTracker:nLagConsistencyWaitMS,ConsistencyTracker:nLagConsistencyWaits,ConsistencyTracker:nVLSNConsistencyWaitMS,ConsistencyTracker:nVLSNConsistencyWaits,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,FeederManager:nFeedersCreated,FeederManager:nFeedersShutdown,FeederManager:nMaxReplicaLag,FeederManager:nMaxReplicaLagName,FeederManager:replicaDelayMap,FeederManager:replicaLastCommitTimestampMap,FeederManager:replicaLastCommitVLSNMap,FeederManager:replicaVLSNLagMap,FeederManager:replicaVLSNRateMap,FeederTxns:ackWaitMS,FeederTxns:lastCommitTimestamp,FeederTxns:lastCommitVLSN,FeederTxns:totalTxnMS,FeederTxns:txnsAcked,FeederTxns:txnsNotAcked,FeederTxns:vlsnRate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,Replay:latestCommitLagMs,Replay:maxCommitProcessingNanos,Replay:minCommitProcessingNanos,Replay:nAborts,Replay:nCommitAcks,Replay:nCommitNoSyncs,Replay:nCommitSyncs,Replay:nCommitWriteNoSyncs,Replay:nCommits,Replay:nElapsedTxnTime,Replay:nGroupCommitMaxExceeded,Replay:nGroupCommitTimeouts,Replay:nGroupCommitTxns,Replay:nGroupCommits,Replay:nLNs,Replay:nMessageQueueOverflows,Replay:nNameLNs,Replay:totalCommitLagMs,Replay:totalCommitProcessingNanos,VLSNIndex:nBucketsCreated,VLSNIndex:nHeadBucketsDeleted,VLSNIndex:nHits,VLSNIndex:nMisses,VLSNIndex:nTailBucketsDeleted
2019-07-12 19:25:14.021 UTC, , , , , , , , , , , , , , , , , , ,125,16791205,952,13864, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1203,1,566,566,1, ,2,4, ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , , , , , , , , , , , , , , , ,16777216, , , , ,1,1,1,1,2,1, , ,16,2, , , , , , , ,38,1, , ,4096,1,1213,1, , , , ,1,12,1,2,73201560,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:26:14.026 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, ,187, , , , , , , , , ,12,12, , , , ,1,21, ,84, , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , ,4871,16777216, , , , ,11,56,50,56,2,58, , ,16,57, , , , , , , , , , , ,8192,2,417835,58, , , , ,1,21,1,13,135889528,-1, , , , , , ,189, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16, ,43,28,13,61, , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2019-07-12 19:27:14.039 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,142118200,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:28:14.044 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,149739256,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:29:14.051 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,152841320,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:30:14.061 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,160841360,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:31:14.075 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,164981048,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:32:14.083 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , ,1,11,85723680,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:33:14.087 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,88794080,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:34:14.092 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,94395032,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-07-12 19:35:14.096 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,16897445,3168,118744,896, ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1562959513763, , , , , , ,0, , , , , , , ,1562959520104,159, , , , ,16777216, , , , ,0, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,97305720,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
