time,BinaryProtocol:bytesReadPerSecond,BinaryProtocol:bytesWrittenPerSecond,BinaryProtocol:messagesReadPerSecond,BinaryProtocol:messagesWrittenPerSecond,BinaryProtocol:nAckMessages,BinaryProtocol:nBytesRead,BinaryProtocol:nBytesWritten,BinaryProtocol:nEntriesOldVersion,BinaryProtocol:nGroupAckMessages,BinaryProtocol:nGroupedAcks,BinaryProtocol:nMaxGroupedAcks,BinaryProtocol:nMessageBatches,BinaryProtocol:nMessagesBatched,BinaryProtocol:nMessagesRead,BinaryProtocol:nMessagesWritten,BinaryProtocol:nReadNanos,BinaryProtocol:nWriteNanos,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,ConsistencyTracker:nLagConsistencyWaitMS,ConsistencyTracker:nLagConsistencyWaits,ConsistencyTracker:nVLSNConsistencyWaitMS,ConsistencyTracker:nVLSNConsistencyWaits,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,FeederManager:nFeedersCreated,FeederManager:nFeedersShutdown,FeederManager:nMaxReplicaLag,FeederManager:nMaxReplicaLagName,FeederManager:replicaDelayMap,FeederManager:replicaLastCommitTimestampMap,FeederManager:replicaLastCommitVLSNMap,FeederManager:replicaVLSNLagMap,FeederManager:replicaVLSNRateMap,FeederTxns:ackWaitMS,FeederTxns:lastCommitTimestamp,FeederTxns:lastCommitVLSN,FeederTxns:totalTxnMS,FeederTxns:txnsAcked,FeederTxns:txnsNotAcked,FeederTxns:vlsnRate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,Replay:latestCommitLagMs,Replay:maxCommitProcessingNanos,Replay:minCommitProcessingNanos,Replay:nAborts,Replay:nCommitAcks,Replay:nCommitNoSyncs,Replay:nCommitSyncs,Replay:nCommitWriteNoSyncs,Replay:nCommits,Replay:nElapsedTxnTime,Replay:nGroupCommitMaxExceeded,Replay:nGroupCommitTimeouts,Replay:nGroupCommitTxns,Replay:nGroupCommits,Replay:nLNs,Replay:nMessageQueueOverflows,Replay:nNameLNs,Replay:totalCommitLagMs,Replay:totalCommitProcessingNanos,VLSNIndex:nBucketsCreated,VLSNIndex:nHeadBucketsDeleted,VLSNIndex:nHits,VLSNIndex:nMisses,VLSNIndex:nTailBucketsDeleted
2019-09-20 15:37:30.035 UTC, , , , , , , , , , , , , , , , , , ,109,11367514,840,13293, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1203,1,566,566,1, ,2,4, ,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568993849933, , , , , , , , , , , , , , , , , , , , ,11354112, , , , ,1,1,1,1,2,1, , ,16,2, , , , , , , ,38,1, , ,4096,1,1213,1, , , , ,15,77,3,49,35401976,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-09-20 15:38:30.041 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11402222,3200,46497,1040, ,7, ,91, , , , , , , , , ,7,7, , , , ,4,8, ,32,4, , , , , , , , , , , , , ,1203,1,566,566, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568993849933, , , , , , , , , , , , , , ,1568993879077,49, , , ,90,11354112, , , , ,51,9,64,9,2,28, , ,16,14, , , ,4, , , , , , , ,8192,2,29220,29, , , , ,2,18, , ,55479392,-1, , , , , , ,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , ,29,5, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
2019-09-20 15:39:30.050 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11402222,3200,46497,1040, ,7, , , , , , , , , , , ,7,7, , , , ,4,8, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568993849933, , , , , , ,0, , , , , , , ,1568993879077,49, , , , ,11354112, , , , , , , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,58332648,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-09-20 15:40:30.067 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11415602,3520,59877,1040, ,11, ,9, , , , , , , , , ,11,11, , , , ,8,12, ,24,2, , , , , , , , , , , , , ,1203,1,566,566, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568993849933, , , , , , ,0, , , , , , , ,1568993976131,66, , , ,236,11354112, , , , ,51, ,51, , ,1, , ,16,1, , , ,2, , , , , , , , , ,1436,2, , , , ,1,12, , ,42690464,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,1,3,1,1, , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-09-20 15:41:30.077 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11415602,3520,59877,1040, ,11, , , , , , , , , , , ,11,11, , , , ,8,12, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568993849933, , , , , , ,0, , , , , , , ,1568993976131,66, , , , ,11354112, , , , , , , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,45554152,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-09-20 15:42:30.092 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11425871,3760,70146,1040, ,14, ,8, , , , , , , , , ,14,14, , , , ,11,15, ,28,2, , , , , , , , , , , , , ,1203,1,566,566, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568993849933, , , , , , ,0, , , , , , , ,1568994096198,83, , , ,240,11354112, , , , ,51, ,51, , ,1, , ,16,1, , , ,2, , , , , , , , , ,1224,2, , , , , , , , ,52466168,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , ,3,1,1, , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-09-20 15:43:30.104 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11425871,3760,70146,1040, ,14, , , , , , , , , , , ,14,14, , , , ,11,15, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568993849933, , , , , , ,0, , , , , , , ,1568994096198,83, , , , ,11354112, , , , , , , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , ,55089344,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2019-09-20 15:43:46.766 UTC, , , , , , , , , , , , , , , , , , ,109,11424094,3120,69873, , ,15, ,230,14,0.06, , , , , , , ,15,15, ,47, ,2,12,17, ,165,19, , , , , , , , , , , , , ,37616,2,33428,33428,1, ,15,30, ,38,38, , , , , ,1,105, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568994226257, , , , , , , , , , , , , , , , , , , , ,11354112, , , ,37,51,2,54,2,4,2, , ,16,3, , , ,37, ,4096,1, , , , ,10572754,50,4533,2, , , , ,16,84,3,51,46670040,-1, , , , , , ,177, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-09-20 15:44:46.781 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11433670,3840,77945,1040, ,15, ,51, , , , , , , , , ,15,15, , , ,2,11,17, ,47,28, , , , , , , , , , , , , ,37616,2,33428,33428, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568994226257, , , , , , ,0, , , , , , , ,1568994233049,86, , , ,15,11354112, , , ,30,51, ,99, ,3,2, , ,16,2, , , ,30,1, , , , , , ,27959,33,3736,2, , , , ,5,52, , ,49403008,-1, , , , , , ,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7,1, , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2019-09-20 15:45:46.799 UTC,0,0,0,0, , , , , , , , , , , , , , ,573,11433670,3840,77945,1040, ,15, , , , , , , , , , , ,15,15, , , ,2,11,17, , , , , , , , , , , , , , , , ,37616,2,33428,33428, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1568994226257, , , , , , ,0, , , , , , , ,1568994233049,86, , , , ,11354112, , , , , , , , , , , , ,16, , , , , ,1, , , , , , , , , , , , , , , , , , ,52465920,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
